name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,national_player,former_international
Jonas Martin,/jonas-martin/profil/spieler/127142,€1.50m,Stade Brestois 29,FRA,"Apr 9, 1990 (33)",Besançon,France,"1,84 m",Defensive Midfield,,,Jan-00,right,33,,France U19
Mahdi Camara,/mahdi-camara/profil/spieler/324795,€3.00m,Stade Brestois 29,FRA,"Jun 30, 1998 (25)",Martigues,France,"1,78 m",Central Midfield,,,Jan-00,right,25,,France U16
Hugo Magnetti,/hugo-magnetti/profil/spieler/474662,€2.00m,Stade Brestois 29,FRA,"May 30, 1998 (25)",Marseille,France,"1,80 m",Central Midfield,,,,right,25,,
Romain Del Castillo,/romain-del-castillo/profil/spieler/353399,€3.00m,Stade Brestois 29,FRA,"Mar 29, 1996 (27)",Lyon,France,"1,72 m",Right Midfield,,,Sep-00,left,27,,France U21
Mathias Pereira Lage,/mathias-pereira-lage/profil/spieler/424072,€2.00m,Stade Brestois 29,FRA,"Nov 30, 1996 (26)",Clermont-Ferrand,France,"1,80 m",Right Midfield,,,Mar-00,right,26,,Portugal U21
Axel Camblan,/axel-camblan/profil/spieler/924800,€400k,Stade Brestois 29,FRA,"Aug 30, 2003 (20)",Brest,France,"1,69 m",Left Midfield,,,,right,20,,
Kamory Doumbia,/kamory-doumbia/profil/spieler/671594,€2.50m,Stade Brestois 29,FRA,"Feb 18, 2003 (20)",Bamako,Mali,"1,70 m",Attacking Midfield,,Mali,1-Mar,right,20,,
Billal Brahimi,/billal-brahimi/profil/spieler/543051,€7.00m,Stade Brestois 29,FRA,"Mar 14, 2000 (23)",Paris,Algeria,"1,83 m",Left Winger,,,Apr-00,left,23,Algeria,
Jérémy Le Douaron,/jeremy-le-douaron/profil/spieler/737781,€4.50m,Stade Brestois 29,FRA,"Apr 21, 1998 (25)",Ploufragan,France,"1,89 m",Left Winger,Kemari,,,left,25,,
Adrien Lebeau,/adrien-lebeau/profil/spieler/395674,€250k,Stade Brestois 29,FRA,"Jul 8, 1999 (24)",Metz,France,"1,75 m",Left Winger,,,,,24,,
Martín Satriano,/martin-satriano/profil/spieler/640109,€7.00m,Stade Brestois 29,FRA,"Feb 20, 2001 (22)",Montevideo,Uruguay,"1,87 m",Centre-Forward,,,Jan-00,right,22,Uruguay,
Steve Mounié,/steve-mounie/profil/spieler/238639,€5.00m,Stade Brestois 29,FRA,"Sep 29, 1994 (28)",Parakou,Benin,"1,90 m",Centre-Forward,,Benin,45 / 14,right,28,,
Álex Domínguez,/alex-dominguez/profil/spieler/524937,€300k,FC Toulouse,FRA,"Jul 30, 1998 (25)",Granollers,Spain,"1,87 m",Goalkeeper,,,0 / 0,left,25,,Spain U21
Thomas Himeur,/thomas-himeur/profil/spieler/835136,€150k,FC Toulouse,FRA,"Jan 17, 2001 (22)",Toulouse,France,"1,92 m",Goalkeeper,,,,right,22,,
Justin Lacombe,/justin-lacombe/profil/spieler/854988,,FC Toulouse,FRA,"Apr 9, 2003 (20)",,France,"1,92 m",Goalkeeper,,,,right,20,,
Guillaume Restes,/guillaume-restes/profil/spieler/912902,,FC Toulouse,FRA,"Mar 11, 2005 (18)",Toulouse,France,"1,86 m",Goalkeeper,Classico,France U21,0 / 0,left,18,,
Rasmus Nicolaisen,/rasmus-nicolaisen/profil/spieler/283227,€6.00m,FC Toulouse,FRA,"Mar 16, 1997 (26)",Herning,Denmark,"1,91 m",Centre-Back,,,Apr-00,left,26,,Denmark U19
Logan Costa,/logan-costa/profil/spieler/484988,€1.20m,FC Toulouse,FRA,"Apr 1, 2001 (22)",Saint-Denis,Cape Verde,"1,90 m",Centre-Back,,Cape Verde,May-00,right,22,,
Moussa Diarra,/moussa-diarra/profil/spieler/694509,€800k,FC Toulouse,FRA,"Nov 10, 2000 (22)",Stains,Mali,"1,85 m",Centre-Back,Rafaela Pimenta,Mali,Jan-00,left,22,,
Kévin Keben,/kevin-keben/profil/spieler/855014,€400k,FC Toulouse,FRA,"Jan 26, 2004 (19)",Bertoua,Cameroon,,Centre-Back,CAA Stellar,Cameroon U23,0 / 0,,19,,
Christian Mawissa Elebi,/christian-mawissa-elebi/profil/spieler/1005240,€250k,FC Toulouse,FRA,"Apr 18, 2005 (18)",Saint-Jean-de-Verges,France,"1,80 m",Centre-Back,Classico,France U19,0 / 0,left,18,,
Gabriel Suazo,/gabriel-suazo/profil/spieler/385105,€2.50m,FC Toulouse,FRA,"Aug 9, 1997 (26)",San Bernardo,Chile,"1,78 m",Left-Back,,Chile,13 / 0,left,26,,
Oliver Zandén,/oliver-zanden/profil/spieler/611195,€1.00m,FC Toulouse,FRA,"Aug 14, 2001 (22)",Alingsås,Sweden,"1,83 m",Left-Back,,,0 / 0,,22,,Sweden U21
Mikkel Desler,/mikkel-desler/profil/spieler/221873,€2.50m,FC Toulouse,FRA,"Feb 19, 1995 (28)",Assens,Denmark,"1,84 m",Right-Back,,,0 / 0,right,28,,Denmark U23
Warren Kamanzi,/warren-kamanzi/profil/spieler/794758,€1.20m,FC Toulouse,FRA,"Nov 11, 2000 (22)",Namsos,Norway,"1,77 m",Right-Back,,,Mar-00,right,22,Norway U21,
Cristian Cásseres Jr.,/cristian-casseres-jr-/profil/spieler/467632,€3.50m,FC Toulouse,FRA,"Jan 20, 2000 (23)",Caracas,Venezuela,"1,76 m",Central Midfield,,Venezuela,20 / 0,right,23,,
Vincent Sierro,/vincent-sierro/profil/spieler/280387,€1.50m,FC Toulouse,FRA,"Oct 8, 1995 (27)",Sion,Switzerland,"1,85 m",Central Midfield,Gold Kick SA,,Apr-00,right,27,,Switzerland U20
Kléri Serber,/kleri-serber/profil/spieler/395697,€350k,FC Toulouse,FRA,"Jul 3, 1998 (25)",Rillieux-la-Pape,France,"1,72 m",Central Midfield,,,Jan-00,right,25,,France U16
Noah Lahmadi,/noah-lahmadi/profil/spieler/1069459,,FC Toulouse,FRA,"Jan 5, 2005 (18)",,France,,Central Midfield,,France U19,0 / 0,,18,,
Aron Dønnum,/aron-donnum/profil/spieler/476836,€3.00m,FC Toulouse,FRA,"Apr 20, 1998 (25)",Eidsvoll,Norway,"1,78 m",Left Midfield,,,Feb-00,left,25,,Norway
Mamady Bangré,/mamady-bangre/profil/spieler/817180,€1.00m,FC Toulouse,FRA,"Jun 15, 2001 (22)",Toulouse,Burkina Faso,"1,71 m",Left Midfield,,Burkina Faso,Mar-00,left,22,,
Niklas Schmidt,/niklas-schmidt/profil/spieler/275249,€2.50m,FC Toulouse,FRA,"Mar 1, 1998 (25)",Kassel,Germany,"1,84 m",Attacking Midfield,SEG,,3-Aug,na,25,,Germany U19
Denis Genreau,/denis-genreau/profil/spieler/470618,€1.50m,FC Toulouse,FRA,"May 21, 1999 (24)",Paris,Australia,"1,75 m",Attacking Midfield,Kemari,Australia,May-00,right,24,,
César Gelabert,/cesar-gelabert/profil/spieler/505308,€700k,FC Toulouse,FRA,"Oct 31, 2000 (22)",Palencia,Spain,"1,82 m",Attacking Midfield,CAA Stellar,,0 / 0,right,22,,Spain U19
Naatan Skyttä,/naatan-skytta/profil/spieler/567309,€500k,FC Toulouse,FRA,"May 7, 2002 (21)",Ylöjärvi,Finland,"1,70 m",Attacking Midfield,,,16 / 8,left,21,Finland U21,
Ibrahim Cissoko,/ibrahim-cissoko/profil/spieler/575693,€2.50m,FC Toulouse,FRA,"Mar 26, 2003 (20)",Nijmegen,Netherlands,"1,88 m",Left Winger,PURE,,,right,20,,
Junior Flemmings,/junior-flemmings/profil/spieler/354664,€350k,FC Toulouse,FRA,"Jan 16, 1996 (27)",Kingston,Jamaica,"1,80 m",Left Winger,,,26 / 4,right,27,,Jamaica
Zakaria Aboukhlal,/zakaria-aboukhlal/profil/spieler/393238,€9.00m,FC Toulouse,FRA,"Feb 18, 2000 (23)",Rotterdam,Morocco,"1,79 m",Right Winger,,Morocco,20 / 3,na,23,,
Noah Edjouma,/noah-edjouma/profil/spieler/1078326,,FC Toulouse,FRA,"Oct 4, 2005 (17)",Clamart,France,,Right Winger,Is known - player U18,,1-Feb,,17,France U18,
Thijs Dallinga,/thijs-dallinga/profil/spieler/538964,€12.00m,FC Toulouse,FRA,"Aug 3, 2000 (23)",Groningen,Netherlands,"1,90 m",Centre-Forward,,,Jul-00,right,23,Netherlands U21,
Yanis Begraoui,/yanis-begraoui/profil/spieler/569376,€1.00m,FC Toulouse,FRA,"Jul 4, 2001 (22)",Étampes,Morocco,"1,79 m",Centre-Forward,Sport Cover,Morocco U23,3-Jul,na,22,,
Frank Magri,/frank-magri/profil/spieler/807689,€1.00m,FC Toulouse,FRA,"Sep 4, 1999 (24)",Agen,France,"1,78 m",Centre-Forward,,,,right,24,,
Bonota Traoré,/bonota-traore/profil/spieler/967049,€50k,FC Toulouse,FRA,"Jun 30, 2003 (20)",,France,,Centre-Forward,,,,,20,,
Mory Diaw,/mory-diaw/profil/spieler/164904,€2.00m,Clermont Foot 63,FRA,"Jun 22, 1993 (30)",Poissy,Senegal,"1,97 m",Goalkeeper,,Senegal,Jan-00,right,30,,
Massamba N'Diaye,/massamba-ndiaye/profil/spieler/916497,€500k,Clermont Foot 63,FRA,"Oct 8, 2001 (21)",Thiès,Senegal,"2,02 m",Goalkeeper,,Senegal U23,Jan-00,,21,,
Théo Borne,/theo-borne/profil/spieler/920218,€100k,Clermont Foot 63,FRA,"Jul 15, 2002 (21)",Montbéliard,France,"1,91 m",Goalkeeper,,,,right,21,,
Alidu Seidu,/alidu-seidu/profil/spieler/798404,€7.00m,Clermont Foot 63,FRA,"Jun 4, 2000 (23)",Abidjan,Ghana,"1,73 m",Centre-Back,,Ghana,Jun-00,right,23,,
Andy Pelmard,/andy-pelmard/profil/spieler/494236,€4.30m,Clermont Foot 63,FRA,"Mar 12, 2000 (23)",Nice,France,"1,80 m",Centre-Back,,,Feb-00,right,23,,France U21
Maximiliano Caufriez,/maximiliano-caufriez/profil/spieler/369267,€2.50m,Clermont Foot 63,FRA,"Feb 16, 1997 (26)",Saint-Ghislain,Belgium,"1,89 m",Centre-Back,,,Jan-00,right,26,,Belgium U21
Cheick Oumar Konaté,/cheick-oumar-konate/profil/spieler/1108145,€1.00m,Clermont Foot 63,FRA,"Apr 2, 2004 (19)",Bamoko,Mali,"1,73 m",Centre-Back,,,,right,19,,
Florent Ogier,/florent-ogier/profil/spieler/91473,€450k,Clermont Foot 63,FRA,"Mar 21, 1989 (34)",Lyon,France,"1,83 m",Centre-Back,Kemari,,,right,34,,
Neto Borges,/neto-borges/profil/spieler/557939,€4.00m,Clermont Foot 63,FRA,"Sep 13, 1996 (26)",Saubara,Brazil,"1,85 m",Left-Back,,,,left,26,,
Yoël Armougom,/yoel-armougom/profil/spieler/548716,€400k,Clermont Foot 63,FRA,"Jun 5, 1998 (25)",Saint-Denis,France,"1,75 m",Left-Back,,,,left,25,,
Mehdi Zeffane,/mehdi-zeffane/profil/spieler/118303,€450k,Clermont Foot 63,FRA,"May 19, 1992 (31)",Sainte-Foy-lès-Lyon,Algeria,"1,76 m",Right-Back,,,19 / 0,right,31,,Algeria
Yohann Magnin,/yohann-magnin/profil/spieler/594997,€2.50m,Clermont Foot 63,FRA,"Jun 21, 1997 (26)",Clermont-Ferrand,France,"1,83 m",Defensive Midfield,,,,right,26,,
Maxime Gonalons,/maxime-gonalons/profil/spieler/60542,€900k,Clermont Foot 63,FRA,"Mar 10, 1989 (34)",Vénissieux,France,"1,87 m",Defensive Midfield,,,Aug-00,right,34,,France
Johan Gastien,/johan-gastien/profil/spieler/72121,€700k,Clermont Foot 63,FRA,"Jan 25, 1988 (35)",Niort,France,"1,79 m",Defensive Midfield,,,,right,35,,
Habib Keïta,/habib-keita/profil/spieler/669000,€650k,Clermont Foot 63,FRA,"Feb 5, 2002 (21)",Bamako,Mali,"1,82 m",Central Midfield,,,,left,21,,
Jim Allevinah,/jim-allevinah/profil/spieler/646733,€2.00m,Clermont Foot 63,FRA,"Feb 27, 1995 (28)",Agen,Gabon,"1,72 m",Right Midfield,,Gabon,20 / 6,right,28,,
Muhammed Cham,/muhammed-cham/profil/spieler/422281,€6.00m,Clermont Foot 63,FRA,"Sep 26, 2000 (22)",Wien,Austria,"1,80 m",Attacking Midfield,CAA Stellar,Austria,Jan-00,left,22,,
Aïman Maurer,/aiman-maurer/profil/spieler/860056,€800k,Clermont Foot 63,FRA,"Sep 25, 2004 (18)",Neuilly-sur-Seine,Morocco,"1,73 m",Attacking Midfield,,Morocco U23,1-Feb,right,18,,
Elbasan Rashani,/elbasan-rashani/profil/spieler/149579,€2.00m,Clermont Foot 63,FRA,"May 9, 1993 (30)",Hillerstorp,Kosovo,"1,81 m",Left Winger,,,22 / 4,left,30,Kosovo,
Jérémie Bela,/jeremie-bela/profil/spieler/170966,€1.50m,Clermont Foot 63,FRA,"Apr 8, 1993 (30)",Melun,Angola,"1,73 m",Left Winger,,,Feb-00,right,30,,Angola
Bilal Boutobba,/bilal-boutobba/profil/spieler/344151,€2.50m,Clermont Foot 63,FRA,"Aug 29, 1998 (25)",Marseille,France,"1,72 m",Right Winger,,,Jan-00,left,25,,France U20
Shamar Nicholson,/shamar-nicholson/profil/spieler/354666,€4.50m,Clermont Foot 63,FRA,"Mar 16, 1997 (26)",Kingston,Jamaica,"1,92 m",Centre-Forward,,Jamaica,40 / 11,right,26,,
Grejohn Kyei,/grejohn-kyei/profil/spieler/321647,€2.50m,Clermont Foot 63,FRA,"Aug 12, 1995 (28)",Gonesse,France,"1,87 m",Centre-Forward,,,1-Jan,right,28,,France U21
Komnen Andric,/komnen-andric/profil/spieler/260316,€1.80m,Clermont Foot 63,FRA,"Jul 1, 1995 (28)",Novi Pazar,Serbia,"1,89 m",Centre-Forward,,,1-Feb,right,28,,Serbia U20
Arthur Desmas,/arthur-desmas/profil/spieler/379869,€1.50m,Le Havre AC,FRA,"Apr 7, 1994 (29)",Brest,France,"1,96 m",Goalkeeper,,,,right,29,,
Mathieu Gorgelin,/mathieu-gorgelin/profil/spieler/60543,€200k,Le Havre AC,FRA,"Aug 5, 1990 (33)",Ambérieu-en-Bugey,France,"1,87 m",Goalkeeper,,,Jan-00,left,33,,France U21
Mohamed Koné,/mohamed-kone/profil/spieler/911985,€50k,Le Havre AC,FRA,"Mar 7, 2002 (21)",Adjamé,Cote d'Ivoire,"1,86 m",Goalkeeper,,Ivory Coast U23,0 / 0,right,21,,
Arouna Sangante,/arouna-sangante/profil/spieler/768380,€5.00m,Le Havre AC,FRA,"Apr 12, 2002 (21)",Mbao,Senegal,"1,89 m",Centre-Back,,,,right,21,,
Yoann Salmier,/yoann-salmier/profil/spieler/351843,€2.00m,Le Havre AC,FRA,"Nov 21, 1992 (30)",Villiers-le-Bel,French Guiana,"1,88 m",Centre-Back,,,Feb-00,right,30,,French Guiana
Gautier Lloris,/gautier-lloris/profil/spieler/249636,€1.50m,Le Havre AC,FRA,"Jul 18, 1995 (28)",Nice,France,"1,91 m",Centre-Back,,,Mar-00,left,28,,France U19
Étienne Youté Kinkoué,/etienne-youte-kinkoue/profil/spieler/639712,€300k,Le Havre AC,FRA,"Jan 14, 2002 (21)",Lyon,France,"1,96 m",Centre-Back,,,1-Jun,right,21,,France U17
Yoni Gomis,/yoni-gomis/profil/spieler/988272,€50k,Le Havre AC,FRA,"Sep 23, 2005 (17)",Saint-Aubin-lès-Elb...,France,"1,86 m",Centre-Back,,,May-00,left,17,France U18,
Christopher Operi,/christopher-operi/profil/spieler/469976,€2.00m,Le Havre AC,FRA,"Apr 29, 1997 (26)",Abidjan,Cote d'Ivoire,"1,83 m",Left-Back,,,,left,26,,
Cheick Doumbia,/cheick-doumbia/profil/spieler/918302,,Le Havre AC,FRA,"Oct 18, 2004 (18)",Courcouronnes,France,"1,75 m",Left-Back,,,Feb-00,left,18,France U19,
Oualid El Hajjam,/oualid-el-hajjam/profil/spieler/283127,€1.20m,Le Havre AC,FRA,"Feb 19, 1991 (32)",Châteauroux,Morocco,"1,81 m",Right-Back,,,Jan-00,right,32,,Morocco
Loïc Nego,/loic-nego/profil/spieler/122840,€1.00m,Le Havre AC,FRA,"Jan 15, 1991 (32)",Paris,Hungary,"1,81 m",Right-Back,Sport Cover,Hungary,29 / 2,right,32,,
Abdoulaye Touré,/abdoulaye-toure/profil/spieler/181382,€1.30m,Le Havre AC,FRA,"Mar 3, 1994 (29)",Nantes,France,"1,88 m",Defensive Midfield,,,Mar-00,right,29,,France U20
Nolan Mbemba,/nolan-mbemba/profil/spieler/276768,€500k,Le Havre AC,FRA,"Feb 19, 1995 (28)",Amiens,Congo,"1,81 m",Defensive Midfield,,,Aug-00,right,28,Congo,
Aloïs Confais,/alois-confais/profil/spieler/292820,€300k,Le Havre AC,FRA,"Sep 7, 1996 (27)",Evreux,France,"1,74 m",Defensive Midfield,,,Jul-00,right,27,,France U20
Daler Kuzyaev,/daler-kuzyaev/profil/spieler/279570,€10.00m,Le Havre AC,FRA,"Jan 15, 1993 (30)","Naberezhnye Chelny, ...",Russia,"1,82 m",Central Midfield,,,46 / 2,right,30,Russia,
Rassoul Ndiaye,/rassoul-ndiaye/profil/spieler/662242,€4.00m,Le Havre AC,FRA,"Dec 11, 2001 (21)",Besançon,Senegal,"1,79 m",Central Midfield,,Senegal U23,Jan-00,right,21,,
Yassine Kechta,/yassine-kechta/profil/spieler/667967,€3.50m,Le Havre AC,FRA,"Feb 25, 2002 (21)",Paris,Morocco,"1,74 m",Central Midfield,,Morocco U23,0 / 0,left,21,,
Oussama Targhalline,/oussama-targhalline/profil/spieler/667965,€800k,Le Havre AC,FRA,"May 20, 2002 (21)",Sidi Belyout,Morocco,"1,86 m",Central Midfield,,,1-Aug,right,21,Morocco U23,
Mokrane Bentoumi,/mokrane-bentoumi/profil/spieler/789091,€50k,Le Havre AC,FRA,"Jun 16, 2005 (18)",Rouen,France,"1,69 m",Attacking Midfield,,France U19,0 / 0,left,18,,
Nabil Alioui,/nabil-alioui/profil/spieler/344607,€1.50m,Le Havre AC,FRA,"Feb 18, 1999 (24)",Toulon,France,"1,75 m",Left Winger,,,3-Sep,right,24,,France U20
Issa Soumaré,/issa-soumare/profil/spieler/568698,€1.00m,Le Havre AC,FRA,"Oct 10, 2000 (22)",Podor,Senegal,"1,82 m",Left Winger,,,,right,22,,
Kandet Diawara,/kandet-diawara/profil/spieler/575319,€250k,Le Havre AC,FRA,"Feb 10, 2000 (23)",Lille,France,"1,80 m",Left Winger,,,May-00,right,23,,France U18
Samuel Grandsir,/samuel-grandsir/profil/spieler/432772,€2.00m,Le Havre AC,FRA,"Aug 14, 1996 (27)",Evreux,France,"1,70 m",Right Winger,,,Apr-00,right,27,,France U21
Josué Casimir,/josue-casimir/profil/spieler/763182,€1.80m,Le Havre AC,FRA,"Sep 24, 2001 (21)",Baie-Mahault,Guadeloupe,"1,78 m",Right Winger,,Guadeloupe U20,3-Mar,right,21,,
Emmanuel Sabbi,/emmanuel-sabbi/profil/spieler/381187,€600k,Le Havre AC,FRA,"Dec 24, 1997 (25)",Vicenza,United States,"1,78 m",Right Winger,,,Jan-00,right,25,USA,
Mohamed Bayo,/mohamed-bayo/profil/spieler/594991,€6.00m,Le Havre AC,FRA,"Jun 4, 1998 (25)",Clermont-Ferrand,Guinea,"1,88 m",Centre-Forward,,Guinea,15 / 4,right,25,,
Antoine Joujou,/antoine-joujou/profil/spieler/1028162,€800k,Le Havre AC,FRA,"Mar 12, 2003 (20)",Mantes-la-Jolie,France,"1,89 m",Centre-Forward,,,0 / 0,,20,France U20,
Andy Logbo,/andy-logbo/profil/spieler/770407,,Le Havre AC,FRA,"May 6, 2004 (19)",Paris,France,"1,88 m",Centre-Forward,,France U20,0 / 0,left,19,,
Guillaume Dietsch,/guillaume-dietsch/profil/spieler/463601,€700k,FC Metz,FRA,"Apr 17, 2001 (22)",Forbach,France,"1,84 m",Goalkeeper,,,Jan-00,right,22,France U21,
Alexandre Oukidja,/alexandre-oukidja/profil/spieler/56809,€500k,FC Metz,FRA,"Jul 19, 1988 (35)",Nevers,Algeria,"1,84 m",Goalkeeper,,,Jun-00,right,35,Algeria,
Marc-Aurèle Caillard,/marc-aurele-caillard/profil/spieler/205465,€500k,FC Metz,FRA,"May 12, 1994 (29)",Melun,France,"1,91 m",Goalkeeper,,,Jan-00,right,29,,France U18
Fali Candé,/fali-cande/profil/spieler/520530,€2.50m,FC Metz,FRA,"Jan 24, 1998 (25)",Bissau,Guinea-Bissau,"1,84 m",Centre-Back,,,17 / 0,left,25,Guinea-Bissau,
Christophe Hérelle,/christophe-herelle/profil/spieler/170544,€2.00m,FC Metz,FRA,"Aug 22, 1992 (31)",Nizza,Martinique,"1,88 m",Centre-Back,,,0 / 0,right,31,,Martinique
Ismaël Traoré,/ismael-traore/profil/spieler/57216,€300k,FC Metz,FRA,"Aug 18, 1986 (37)",Paris,Cote d'Ivoire,"1,84 m",Centre-Back,,,19 / 0,right,37,,Ivory Coast
Abou Lo,/abou-lo/profil/spieler/739076,€250k,FC Metz,FRA,"Jan 2, 2000 (23)",Dakar,Senegal,"1,83 m",Centre-Back,,,,right,23,,
Sadibou Sané,/sadibou-sane/profil/spieler/1111777,,FC Metz,FRA,"Jun 10, 2004 (19)",Diouloulou,Senegal,"1,85 m",Centre-Back,,,0 / 0,right,19,Senegal U20,
Matthieu Udol,/matthieu-udol/profil/spieler/344886,€2.50m,FC Metz,FRA,"Mar 20, 1996 (27)",Metz,France,"1,78 m",Left-Back,,,,left,27,,
Kevin Van Den Kerkhof,/kevin-van-den-kerkhof/profil/spieler/400680,€2.00m,FC Metz,FRA,"Mar 14, 1996 (27)",Saint-Saulve,Algeria,"1,90 m",Right-Back,,Algeria,Feb-00,right,27,,
Koffi Kouao,/koffi-kouao/profil/spieler/481513,€2.00m,FC Metz,FRA,"May 20, 1998 (25)",Abidjan,Cote d'Ivoire,"1,73 m",Right-Back,,,0 / 0,right,25,,Ivory Coast U23
Maxime Colin,/maxime-colin/profil/spieler/156618,€1.20m,FC Metz,FRA,"Nov 15, 1991 (31)",Arras,France,"1,80 m",Right-Back,,,Jul-00,right,31,,France U20
Habib Maïga,/habib-maiga/profil/spieler/293944,€2.50m,FC Metz,FRA,"Jan 1, 1996 (27)",Gagnoa,Cote d'Ivoire,"1,81 m",Defensive Midfield,SEG,,13 / 0,right,27,,Ivory Coast
Kévin N'Doram,/kevin-ndoram/profil/spieler/342209,€1.50m,FC Metz,FRA,"Jan 22, 1996 (27)",Saint-Sébastien-sur...,France,"1,84 m",Defensive Midfield,,,Feb-00,right,27,,France U21
Danley Jean Jacques,/danley-jean-jacques/profil/spieler/628834,€1.50m,FC Metz,FRA,"May 20, 2000 (23)",Petit-Goâve,Haiti,"1,82 m",Defensive Midfield,,Haiti,1-May,right,23,,
Arthur Atta,/arthur-atta/profil/spieler/855308,€500k,FC Metz,FRA,"Jan 14, 2003 (20)",Rennes,France,"1,89 m",Defensive Midfield,,,0 / 0,right,20,France U20,
Jean N'Guessan,/jean-nguessan/profil/spieler/837329,€1.20m,FC Metz,FRA,"Apr 17, 2003 (20)",Daloa,Cote d'Ivoire,"1,77 m",Central Midfield,,Ivory Coast U23,0 / 0,right,20,,
Sami Lahssaini,/sami-lahssaini/profil/spieler/535706,€450k,FC Metz,FRA,"Sep 18, 1998 (24)",Liège,Belgium,"1,77 m",Central Midfield,,,,right,24,,
Joseph Nduquidi,/joseph-nduquidi/profil/spieler/919620,€250k,FC Metz,FRA,"Oct 31, 2004 (18)",Forbach,France,"1,87 m",Central Midfield,,,,,18,,
Lamine Camara,/lamine-camara/profil/spieler/918969,€200k,FC Metz,FRA,"Jan 1, 2004 (19)",Diouloulou,Senegal,"1,73 m",Central Midfield,,Senegal U23,Feb-00,right,19,,
Cheikh Sabaly,/cheikh-sabaly/profil/spieler/568696,€700k,FC Metz,FRA,"Mar 4, 1999 (24)",Kolda,Senegal,"1,68 m",Left Winger,,,,right,24,,
Ablie Jallow,/ablie-jallow/profil/spieler/366045,€1.50m,FC Metz,FRA,"Nov 14, 1998 (24)",Bundung,The Gambia,"1,66 m",Right Winger,,The Gambia,27 / 7,left,24,,
Joel Asoro,/joel-asoro/profil/spieler/375391,€1.50m,FC Metz,FRA,"Apr 27, 1999 (24)",Haninge,Sweden,"1,76 m",Right Winger,,,1-Feb,right,24,Sweden,
Warren Tchimbembé,/warren-tchimbembe/profil/spieler/591914,€500k,FC Metz,FRA,"Apr 21, 1998 (25)",Gonesse,Congo,"1,80 m",Right Winger,,Congo,Feb-00,right,25,,
Malick Mbaye,/malick-mbaye/profil/spieler/707063,€150k,FC Metz,FRA,"Apr 6, 2004 (19)",Diohine,Senegal,"1,73 m",Right Winger,,,0 / 0,right,19,Senegal,
Óscar Estupiñán,/oscar-estupinan/profil/spieler/388266,€5.00m,FC Metz,FRA,"Dec 29, 1996 (26)",Santiago de Cali,Colombia,"1,82 m",Centre-Forward,,,Jan-00,left,26,Colombia,
Benjamin Tetteh,/benjamin-tetteh/profil/spieler/306382,€1.50m,FC Metz,FRA,"Jul 10, 1997 (26)",Accra,Ghana,"1,93 m",Centre-Forward,SPOCS Global Sports,,Jul-00,right,26,,Ghana
Simon Elisor,/simon-elisor/profil/spieler/804661,€800k,FC Metz,FRA,"Jul 22, 1999 (24)",Périgueux,France,"1,85 m",Centre-Forward,,,,left,24,,
Ibou Sané,/ibou-sane/profil/spieler/1111776,,FC Metz,FRA,"Mar 28, 2005 (18)",Diégoune,Senegal,"1,80 m",Centre-Forward,,,1-Feb,right,18,Senegal U20,
