name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,former_international,national_player
Caoimhín Kelleher,/caoimhin-kelleher/profil/spieler/340918,€12.00m,Liverpool FC,ENG,"Nov 23, 1998 (24)",Cork,Ireland,"1,88 m",Goalkeeper,CAA Stellar,Ireland,Oct-00,right,24,,
Adrián,/adrian/profil/spieler/71271,€800k,Liverpool FC,ENG,"Jan 3, 1987 (36)",Sevilla,Spain,"1,90 m",Goalkeeper,,,0 / 0,right,36,Spain,
Ibrahima Konaté,/ibrahima-konate/profil/spieler/357119,€38.00m,Liverpool FC,ENG,"May 25, 1999 (24)",Paris,France,"1,94 m",Centre-Back,CAA Stellar,,Nov-00,right,24,,France
Virgil van Dijk,/virgil-van-dijk/profil/spieler/139208,€35.00m,Liverpool FC,ENG,"Jul 8, 1991 (32)",Breda,Netherlands,"1,93 m",Centre-Back,ROOF,Netherlands,58 / 6,right,32,,
Joe Gomez,/joe-gomez/profil/spieler/256178,€22.00m,Liverpool FC,ENG,"May 23, 1997 (26)",London,England,"1,88 m",Centre-Back,,,Nov-00,right,26,England,
Joel Matip,/joel-matip/profil/spieler/82105,€12.00m,Liverpool FC,ENG,"Aug 8, 1991 (32)",Bochum,Cameroon,"1,95 m",Centre-Back,,,27 / 1,right,32,Cameroon,
Andrew Robertson,/andrew-robertson/profil/spieler/234803,€40.00m,Liverpool FC,ENG,"Mar 11, 1994 (29)",Glasgow,Scotland,"1,78 m",Left-Back,,Scotland,62 / 3,left,29,,
Konstantinos Tsimikas,/konstantinos-tsimikas/profil/spieler/338070,€18.00m,Liverpool FC,ENG,"May 12, 1996 (27)",Thessaloniki,Greece,"1,79 m",Left-Back,,Greece,29 / 0,left,27,,
Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353,€65.00m,Liverpool FC,ENG,"Oct 7, 1998 (24)",Liverpool,England,"1,80 m",Right-Back,,England,20 / 2,right,24,,
Stefan Bajcetic,/stefan-bajcetic/profil/spieler/864799,€13.00m,Liverpool FC,ENG,"Oct 22, 2004 (18)",Vigo,Spain,"1,85 m",Defensive Midfield,,Spain U21,Jan-00,right,18,,
Wataru Endo,/wataru-endo/profil/spieler/146310,€6.50m,Liverpool FC,ENG,"Feb 9, 1993 (30)","Yokohama, Kanagawa",Japan,"1,78 m",Defensive Midfield,,Japan,51 / 2,right,30,,
Alexis Mac Allister,/alexis-mac-allister/profil/spieler/534033,€65.00m,Liverpool FC,ENG,"Dec 24, 1998 (24)",Santa Rosa,Argentina,"1,76 m",Central Midfield,,Argentina,18 / 1,right,24,,
Ryan Gravenberch,/ryan-gravenberch/profil/spieler/478573,€30.00m,Liverpool FC,ENG,"May 16, 2002 (21)",Amsterdam,Netherlands,"1,90 m",Central Midfield,Team Raiola,,1-Nov,right,21,,Netherlands
Curtis Jones,/curtis-jones/profil/spieler/433188,€25.00m,Liverpool FC,ENG,"Jan 30, 2001 (22)",Liverpool,England,"1,85 m",Central Midfield,,,20 / 5,right,22,,England U21
Thiago,/thiago/profil/spieler/60444,€15.00m,Liverpool FC,ENG,"Apr 11, 1991 (32)",San Pietro Vernotico,Spain,"1,74 m",Central Midfield,,,46 / 2,right,32,Spain,
Dominik Szoboszlai,/dominik-szoboszlai/profil/spieler/451276,€50.00m,Liverpool FC,ENG,"Oct 25, 2000 (22)",Székesfehérvár,Hungary,"1,87 m",Attacking Midfield,,Hungary,34 / 7,right,22,,
Harvey Elliott,/harvey-elliott/profil/spieler/565822,€35.00m,Liverpool FC,ENG,"Apr 4, 2003 (20)",London,England,"1,70 m",Attacking Midfield,ROOF,England U21,13 / 1,left,20,,
Luis Díaz,/luis-diaz/profil/spieler/480692,€75.00m,Liverpool FC,ENG,"Jan 13, 1997 (26)",Barrancas,Colombia,"1,80 m",Left Winger,,Colombia,40 / 9,right,26,,
Cody Gakpo,/cody-gakpo/profil/spieler/434675,€55.00m,Liverpool FC,ENG,"May 7, 1999 (24)",Eindhoven,Netherlands,"1,93 m",Left Winger,SEG,Netherlands,17 / 6,right,24,,
Diogo Jota,/diogo-jota/profil/spieler/340950,€50.00m,Liverpool FC,ENG,"Dec 4, 1996 (26)",Porto,Portugal,"1,78 m",Left Winger,Gestifute,Portugal,32 / 10,right,26,,
Mohamed Salah,/mohamed-salah/profil/spieler/148455,€65.00m,Liverpool FC,ENG,"Jun 15, 1992 (31)","Nagrig, Basyoun",Egypt,"1,75 m",Right Winger,,Egypt,88 / 49,left,31,,
Darwin Núñez,/darwin-nunez/profil/spieler/546543,€65.00m,Liverpool FC,ENG,"Jun 24, 1999 (24)",Artigas,Uruguay,"1,87 m",Centre-Forward,Gestifute,Uruguay,17 / 3,right,24,,
Guglielmo Vicario,/guglielmo-vicario/profil/spieler/286047,€16.00m,Tottenham Hotspur,ENG,"Oct 7, 1996 (26)",Udine,Italy,"1,94 m",Goalkeeper,GG11,Italy,0 / 0,right,26,,
Hugo Lloris,/hugo-lloris/profil/spieler/17965,€3.00m,Tottenham Hotspur,ENG,"Dec 26, 1986 (36)",Nice,France,"1,88 m",Goalkeeper,,,145 / 0,left,36,France,
Fraser Forster,/fraser-forster/profil/spieler/52570,€1.50m,Tottenham Hotspur,ENG,"Mar 17, 1988 (35)",Hexham,England,"2,01 m",Goalkeeper,CAA Stellar,,Jun-00,right,35,,England
Alfie Whiteman,/alfie-whiteman/profil/spieler/282823,€500k,Tottenham Hotspur,ENG,"Oct 2, 1998 (24)",London,England,"1,88 m",Goalkeeper,,,Jan-00,right,24,England U19,
Brandon Austin,/brandon-austin/profil/spieler/428016,€300k,Tottenham Hotspur,ENG,"Jan 8, 1999 (24)",Hemel Hempstead,England,"1,88 m",Goalkeeper,Unique Sports Group,,0 / 0,right,24,England U21,
Cristian Romero,/cristian-romero/profil/spieler/355915,€60.00m,Tottenham Hotspur,ENG,"Apr 27, 1998 (25)",Córdoba,Argentina,"1,85 m",Centre-Back,,Argentina,23 / 2,right,25,,
Micky van de Ven,/micky-van-de-ven/profil/spieler/557459,€30.00m,Tottenham Hotspur,ENG,"Apr 19, 2001 (22)",Wormer,Netherlands,"1,93 m",Centre-Back,Team Raiola,Netherlands,0 / 0,left,22,,
Eric Dier,/eric-dier/profil/spieler/175722,€18.00m,Tottenham Hotspur,ENG,"Jan 15, 1994 (29)",Cheltenham,England,"1,88 m",Centre-Back,,,49 / 3,right,29,,England
Ashley Phillips,/ashley-phillips/profil/spieler/859951,€2.00m,Tottenham Hotspur,ENG,"Jun 26, 2005 (18)",,England,"1,92 m",Centre-Back,,England U19,Jun-00,right,18,,
Destiny Udogie,/destiny-udogie/profil/spieler/556385,€25.00m,Tottenham Hotspur,ENG,"Nov 28, 2002 (20)",Verona,Italy,"1,88 m",Left-Back,,,Aug-00,left,20,,Italy U21
Ben Davies,/ben-davies/profil/spieler/192765,€15.00m,Tottenham Hotspur,ENG,"Apr 24, 1993 (30)",Neath,Wales,"1,81 m",Left-Back,CAA Stellar,Wales,79 / 1,left,30,,
Pedro Porro,/pedro-porro/profil/spieler/553875,€40.00m,Tottenham Hotspur,ENG,"Sep 13, 1999 (23)",Don Benito,Spain,"1,73 m",Right-Back,,,Feb-00,right,23,,Spain
Emerson Royal,/emerson-royal/profil/spieler/476344,€20.00m,Tottenham Hotspur,ENG,"Jan 14, 1999 (24)",São Paulo,Brazil,"1,83 m",Right-Back,,,Aug-00,right,24,,Brazil
Oliver Skipp,/oliver-skipp/profil/spieler/406638,€15.00m,Tottenham Hotspur,ENG,"Sep 16, 2000 (22)",Welwyn Garden City,England,"1,75 m",Defensive Midfield,ARETÉ,,24 / 0,right,22,,England U21
Pierre-Emile Højbjerg,/pierre-emile-hojbjerg/profil/spieler/167799,€45.00m,Tottenham Hotspur,ENG,"Aug 5, 1995 (28)",København,Denmark,"1,85 m",Central Midfield,,Denmark,66 / 6,right,28,,
Rodrigo Bentancur,/rodrigo-bentancur/profil/spieler/354362,€40.00m,Tottenham Hotspur,ENG,"Jun 25, 1997 (26)",Nueva Helvecia,Uruguay,"1,87 m",Central Midfield,,,54 / 1,right,26,,Uruguay
Yves Bissouma,/yves-bissouma/profil/spieler/410425,€18.00m,Tottenham Hotspur,ENG,"Aug 30, 1996 (27)",Issia,Mali,"1,82 m",Central Midfield,,,29 / 3,right,27,,Mali
Pape Matar Sarr,/pape-matar-sarr/profil/spieler/568693,€15.00m,Tottenham Hotspur,ENG,"Sep 14, 2002 (20)",Thiaroye,Senegal,"1,84 m",Central Midfield,,Senegal,14 / 0,right,20,,
Ryan Sessegnon,/ryan-sessegnon/profil/spieler/392775,€18.00m,Tottenham Hotspur,ENG,"May 18, 2000 (23)",London,England,"1,78 m",Left Midfield,Unique Sports Group,,20 / 1,left,23,,England U21
Ivan Perisic,/ivan-perisic/profil/spieler/42460,€7.00m,Tottenham Hotspur,ENG,"Feb 2, 1989 (34)",Split,Croatia,"1,86 m",Left Midfield,,Croatia,128 / 33,na,34,,
James Maddison,/james-maddison/profil/spieler/294057,€60.00m,Tottenham Hotspur,ENG,"Nov 23, 1996 (26)",Coventry,England,"1,75 m",Attacking Midfield,,England,Apr-00,right,26,,
Giovani Lo Celso,/giovani-lo-celso/profil/spieler/348795,€14.00m,Tottenham Hotspur,ENG,"Apr 9, 1996 (27)",Rosario,Argentina,"1,77 m",Attacking Midfield,,,44 / 2,left,27,,Argentina
Heung-min Son,/heung-min-son/profil/spieler/91845,€50.00m,Tottenham Hotspur,ENG,"Jul 8, 1992 (31)","Chuncheon, Gangwon","Korea, South","1,84 m",Left Winger,,South Korea,111 / 37,na,31,,
Manor Solomon,/manor-solomon/profil/spieler/396638,€18.00m,Tottenham Hotspur,ENG,"Jul 24, 1999 (24)",Kfar Saba,Israel,"1,70 m",Left Winger,,Israel,36 / 7,right,24,,
Bryan Gil,/bryan-gil/profil/spieler/537382,€15.00m,Tottenham Hotspur,ENG,"Feb 11, 2001 (22)",Barbate (Cádiz),Spain,"1,75 m",Left Winger,,,14 / 4,left,22,,Spain U21
Dejan Kulusevski,/dejan-kulusevski/profil/spieler/431755,€50.00m,Tottenham Hotspur,ENG,"Apr 25, 2000 (23)",Stockholm,Sweden,"1,86 m",Right Winger,,Sweden,31 / 3,left,23,,
Brennan Johnson,/brennan-johnson/profil/spieler/470607,€38.00m,Tottenham Hotspur,ENG,"May 23, 2001 (22)",Nottingham,Wales,"1,79 m",Right Winger,Unique Sports Group,Wales,20 / 2,right,22,,
Richarlison,/richarlison/profil/spieler/378710,€48.00m,Tottenham Hotspur,ENG,"May 10, 1997 (26)",Nova Venécia,Brazil,"1,84 m",Centre-Forward,,Brazil,45 / 20,right,26,,
Alejo Véliz,/alejo-veliz/profil/spieler/888493,€7.00m,Tottenham Hotspur,ENG,"Sep 19, 2003 (19)",Gödeken,Argentina,"1,86 m",Centre-Forward,,Argentina U20,3-Sep,right,19,,
Nick Pope,/nick-pope/profil/spieler/192080,€20.00m,Newcastle United,ENG,"Apr 19, 1992 (31)",Soham,England,"1,98 m",Goalkeeper,CAA Stellar,,Oct-00,right,31,,England
Martin Dúbravka,/martin-dubravka/profil/spieler/74960,€1.50m,Newcastle United,ENG,"Jan 15, 1989 (34)",Žilina,Slovakia,"1,91 m",Goalkeeper,SPOCS Global Sports,Slovakia,34 / 0,right,34,,
Loris Karius,/loris-karius/profil/spieler/85864,€1.20m,Newcastle United,ENG,"Jun 22, 1993 (30)",Biberach an der Riß,Germany,"1,91 m",Goalkeeper,ROGON,,Jan-00,right,30,Germany U21,
Mark Gillespie,/mark-gillespie/profil/spieler/142389,€300k,Newcastle United,ENG,"Mar 27, 1992 (31)",Newcastle upon Tyne,England,"1,91 m",Goalkeeper,SMI Sports ...,,,right,31,,
Sven Botman,/sven-botman/profil/spieler/361093,€45.00m,Newcastle United,ENG,"Jan 12, 2000 (23)",Badhoevedorp,Netherlands,"1,95 m",Centre-Back,,,0 / 0,left,23,,Netherlands
Fabian Schär,/fabian-schar/profil/spieler/135343,€10.00m,Newcastle United,ENG,"Dec 20, 1991 (31)",Wil,Switzerland,"1,86 m",Centre-Back,Sports360 GmbH,Switzerland,76 / 8,right,31,,
Jamaal Lascelles,/jamaal-lascelles/profil/spieler/183318,€4.50m,Newcastle United,ENG,"Nov 11, 1993 (29)",Derby,England,"1,88 m",Centre-Back,Unique Sports Group,,Feb-00,right,29,England U21,
Matt Targett,/matt-targett/profil/spieler/250478,€13.00m,Newcastle United,ENG,"Sep 18, 1995 (27)",Eastleigh,England,"1,83 m",Left-Back,,,13 / 0,left,27,England U21,
Lewis Hall,/lewis-hall/profil/spieler/670858,€10.00m,Newcastle United,ENG,"Sep 8, 2004 (19)",Slough,England,"1,79 m",Left-Back,,England U20,0 / 0,left,19,,
Dan Burn,/dan-burn/profil/spieler/134270,€10.00m,Newcastle United,ENG,"May 9, 1992 (31)",Blyth,England,"2,01 m",Left-Back,,,,left,31,,
Paul Dummett,/paul-dummett/profil/spieler/170321,€1.00m,Newcastle United,ENG,"Sep 26, 1991 (31)",Newcastle upon Tyne,Wales,"1,83 m",Left-Back,Unique Sports Group,,May-00,left,31,Wales,
Tino Livramento,/tino-livramento/profil/spieler/503981,€25.00m,Newcastle United,ENG,"Nov 12, 2002 (20)",London,England,"1,82 m",Right-Back,,,May-00,right,20,England U21,
Kieran Trippier,/kieran-trippier/profil/spieler/95810,€11.00m,Newcastle United,ENG,"Sep 19, 1990 (32)",Bury,England,"1,73 m",Right-Back,,England,42 / 1,right,32,,
Emil Krafth,/emil-krafth/profil/spieler/184528,€3.00m,Newcastle United,ENG,"Aug 2, 1994 (29)",Ljungby,Sweden,"1,84 m",Right-Back,,,42 / 0,right,29,Sweden,
Javier Manquillo,/javier-manquillo/profil/spieler/162029,€2.50m,Newcastle United,ENG,"May 5, 1994 (29)",Madrid,Spain,"1,78 m",Right-Back,CAA Stellar,,Jul-00,right,29,Spain U21,
Bruno Guimarães,/bruno-guimaraes/profil/spieler/520624,€70.00m,Newcastle United,ENG,"Nov 16, 1997 (25)",Rio de Janeiro,Brazil,"1,82 m",Defensive Midfield,,Brazil,13 / 1,right,25,,
Sandro Tonali,/sandro-tonali/profil/spieler/397033,€50.00m,Newcastle United,ENG,"May 8, 2000 (23)",Lodi,Italy,"1,81 m",Defensive Midfield,,Italy,14 / 0,right,23,,
Joelinton,/joelinton/profil/spieler/333241,€42.00m,Newcastle United,ENG,"Aug 14, 1996 (27)",Aliança,Brazil,"1,86 m",Central Midfield,ROGON,Brazil,1-Mar,right,27,,
Joe Willock,/joe-willock/profil/spieler/340329,€38.00m,Newcastle United,ENG,"Aug 20, 1999 (24)",London,England,"1,86 m",Central Midfield,,,Apr-00,right,24,England U21,
Sean Longstaff,/sean-longstaff/profil/spieler/346707,€25.00m,Newcastle United,ENG,"Oct 30, 1997 (25)",Newcastle upon Tyne,England,"1,87 m",Central Midfield,,,,right,25,,
Lewis Miley,/lewis-miley/profil/spieler/922769,,Newcastle United,ENG,"May 1, 2006 (17)",Gateshead,England,"1,85 m",Central Midfield,Is known - player U18,England U19,0 / 0,right,17,,
Matt Ritchie,/matt-ritchie/profil/spieler/92469,€1.00m,Newcastle United,ENG,"Sep 10, 1989 (34)",Gosport,Scotland,"1,73 m",Right Midfield,,,16 / 3,left,34,Scotland,
Elliot Anderson,/elliot-anderson/profil/spieler/567576,€8.00m,Newcastle United,ENG,"Nov 6, 2002 (20)",Whitley Bay,Scotland,"1,79 m",Attacking Midfield,CAA Stellar,Scotland,0 / 0,right,20,,
Anthony Gordon,/anthony-gordon/profil/spieler/503733,€38.00m,Newcastle United,ENG,"Feb 24, 2001 (22)",Liverpool,England,"1,82 m",Left Winger,Unique Sports Group,,16 / 6,right,22,,England U21
Harvey Barnes,/harvey-barnes/profil/spieler/398065,€35.00m,Newcastle United,ENG,"Dec 9, 1997 (25)",Burnley,England,"1,82 m",Left Winger,,,Jan-00,right,25,England,
Miguel Almirón,/miguel-almiron/profil/spieler/272999,€32.00m,Newcastle United,ENG,"Feb 10, 1994 (29)",Asunción,Paraguay,"1,74 m",Right Winger,,Paraguay,50 / 7,left,29,,
Jacob Murphy,/jacob-murphy/profil/spieler/199527,€15.00m,Newcastle United,ENG,"Feb 24, 1995 (28)",London,England,"1,73 m",Right Winger,,,1-Jun,right,28,England U21,
Alexander Isak,/alexander-isak/profil/spieler/349066,€70.00m,Newcastle United,ENG,"Sep 21, 1999 (23)",Solna,Sweden,"1,92 m",Centre-Forward,Universal Twenty Two,Sweden,41 / 10,right,23,,
Callum Wilson,/callum-wilson/profil/spieler/123682,€16.00m,Newcastle United,ENG,"Feb 27, 1992 (31)",Coventry,England,"1,80 m",Centre-Forward,Unique Sports Group,England,2-Aug,right,31,,
Emiliano Martínez,/emiliano-martinez/profil/spieler/111873,€28.00m,Aston Villa,ENG,"Sep 2, 1992 (31)",Mar del Plata,Argentina,"1,95 m",Goalkeeper,Universal Twenty Two,Argentina,31 / 0,right,31,,
Robin Olsen,/robin-olsen/profil/spieler/75458,€1.50m,Aston Villa,ENG,"Jan 8, 1990 (33)",Malmö,Sweden,"1,96 m",Goalkeeper,,Sweden,67 / 0,right,33,,
Pau Torres,/pau-torres/profil/spieler/399776,€45.00m,Aston Villa,ENG,"Jan 16, 1997 (26)",Villarreal,Spain,"1,92 m",Centre-Back,InterStarDeporte,Spain,23 / 1,left,26,,
Ezri Konsa,/ezri-konsa/profil/spieler/413403,€25.00m,Aston Villa,ENG,"Oct 23, 1997 (25)",London,England,"1,83 m",Centre-Back,CAA Stellar,,1-Jul,right,25,England U21,
Tyrone Mings,/tyrone-mings/profil/spieler/253677,€22.00m,Aston Villa,ENG,"Mar 13, 1993 (30)",Bath,England,"1,96 m",Centre-Back,,,18 / 2,left,30,,England
Diego Carlos,/diego-carlos/profil/spieler/329145,€20.00m,Aston Villa,ENG,"Mar 15, 1993 (30)",Barra Bonita (SP),Brazil,"1,85 m",Centre-Back,,,0 / 0,right,30,Brazil,
Clément Lenglet,/clement-lenglet/profil/spieler/182904,€10.00m,Aston Villa,ENG,"Jun 17, 1995 (28)",Beauvais,France,"1,86 m",Centre-Back,,,15 / 1,left,28,France,
Kortney Hause,/kortney-hause/profil/spieler/233124,€2.20m,Aston Villa,ENG,"Jul 16, 1995 (28)",Redbridge,England,"1,91 m",Centre-Back,,,Oct-00,left,28,England U21,
Lucas Digne,/lucas-digne/profil/spieler/126664,€15.00m,Aston Villa,ENG,"Jul 20, 1993 (30)",Meaux,France,"1,78 m",Left-Back,,,46 / 0,left,30,France,
Álex Moreno,/alex-moreno/profil/spieler/193098,€15.00m,Aston Villa,ENG,"Jun 8, 1993 (30)",Vilafranca Del ...,Spain,"1,79 m",Left-Back,,,,left,30,,
Matty Cash,/matty-cash/profil/spieler/425334,€25.00m,Aston Villa,ENG,"Aug 7, 1997 (26)",Slough,Poland,"1,85 m",Right-Back,,Poland,13 / 1,right,26,,
Calum Chambers,/calum-chambers/profil/spieler/215118,€8.00m,Aston Villa,ENG,"Jan 20, 1995 (28)",Petersfield,England,"1,82 m",Right-Back,,,Mar-00,right,28,England,
Boubacar Kamara,/boubacar-kamara/profil/spieler/394327,€30.00m,Aston Villa,ENG,"Nov 23, 1999 (23)",Marseille,France,"1,84 m",Defensive Midfield,,France,Mar-00,right,23,,
Leander Dendoncker,/leander-dendoncker/profil/spieler/168157,€15.00m,Aston Villa,ENG,"Apr 15, 1995 (28)",Passendale,Belgium,"1,88 m",Defensive Midfield,,,32 / 1,right,28,,Belgium
Jacob Ramsey,/jacob-ramsey/profil/spieler/503749,€42.00m,Aston Villa,ENG,"May 28, 2001 (22)",Birmingham,England,"1,80 m",Central Midfield,Unique Sports Group,,16 / 4,right,22,,England U21
Douglas Luiz,/douglas-luiz/profil/spieler/447661,€40.00m,Aston Villa,ENG,"May 9, 1998 (25)",Rio de Janeiro,Brazil,"1,77 m",Central Midfield,,,Sep-00,right,25,Brazil,
John McGinn,/john-mcginn/profil/spieler/193116,€27.00m,Aston Villa,ENG,"Oct 18, 1994 (28)",Glasgow,Scotland,"1,78 m",Central Midfield,,Scotland,56 / 17,left,28,,
Youri Tielemans,/youri-tielemans/profil/spieler/249565,€25.00m,Aston Villa,ENG,"May 7, 1997 (26)",Sint-Pieters-Leeuw,Belgium,"1,77 m",Central Midfield,,Belgium,61 / 5,right,26,,
Tim Iroegbunam,/tim-iroegbunam/profil/spieler/696589,€5.00m,Aston Villa,ENG,"Jun 30, 2003 (20)",Birmingham,England,"1,83 m",Central Midfield,,,1-May,right,20,,England U20
Nicolò Zaniolo,/nicolo-zaniolo/profil/spieler/392085,€27.00m,Aston Villa,ENG,"Jul 2, 1999 (24)",Massa,Italy,"1,90 m",Attacking Midfield,,Italy,13 / 2,left,24,,
Leon Bailey,/leon-bailey/profil/spieler/387626,€28.00m,Aston Villa,ENG,"Aug 9, 1997 (26)",Kingston,Jamaica,"1,78 m",Left Winger,,Jamaica,24 / 4,left,26,,
Moussa Diaby,/moussa-diaby/profil/spieler/395516,€50.00m,Aston Villa,ENG,"Jul 7, 1999 (24)",Paris,France,"1,71 m",Right Winger,,,Sep-00,left,24,,France
Emiliano Buendía,/emiliano-buendia/profil/spieler/321247,€28.00m,Aston Villa,ENG,"Dec 25, 1996 (26)",Mar del Plata,Argentina,"1,72 m",Right Winger,Universal Twenty Two,,Jan-00,right,26,Argentina,
Bertrand Traoré,/bertrand-traore/profil/spieler/131996,€12.00m,Aston Villa,ENG,"Sep 6, 1995 (28)",Bobo-Dioulasso,Burkina Faso,"1,81 m",Right Winger,CAA Stellar,,72 / 15,left,28,,Burkina Faso
Ollie Watkins,/ollie-watkins/profil/spieler/324358,€40.00m,Aston Villa,ENG,"Dec 30, 1995 (27)",Torquay,England,"1,80 m",Centre-Forward,,,2-Jul,right,27,England,
Jhon Durán,/jhon-duran/profil/spieler/649317,€12.00m,Aston Villa,ENG,"Dec 13, 2003 (19)",Medellín,Colombia,"1,85 m",Centre-Forward,,Colombia,1-Jun,left,19,,
Alphonse Areola,/alphonse-areola/profil/spieler/120629,€8.00m,West Ham United,ENG,"Feb 27, 1993 (30)",Paris,France,"1,95 m",Goalkeeper,Rafaela Pimenta,France,May-00,right,30,,
Lukasz Fabianski,/lukasz-fabianski/profil/spieler/29692,€900k,West Ham United,ENG,"Apr 18, 1985 (38)",Kostrzyn nad Odrą,Poland,"1,90 m",Goalkeeper,ROOF,,57 / 0,right,38,Poland,
Joseph Anang,/joseph-anang/profil/spieler/576099,€100k,West Ham United,ENG,"Jun 8, 2000 (23)",Accra,England,"1,90 m",Goalkeeper,,,Jan-00,right,23,England U20,
