name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Mattia Bani,/mattia-bani/profil/spieler/176139,€1.70m,Genoa CFC,ITA,"Dec 10, 1993 (29)",Borgo San Lorenzo,Italy,"1,88 m",Centre-Back,,0 / 0,right,29,Italy U18,,
Aarón Martín,/aaron-martin/profil/spieler/251878,€7.00m,Genoa CFC,ITA,"Apr 22, 1997 (26)",Montmeló,Spain,"1,80 m",Left-Back,,Dec-00,left,26,Spain U21,,
Ridgeciano Haps,/ridgeciano-haps/profil/spieler/228444,€1.00m,Genoa CFC,ITA,"Jun 12, 1993 (30)",Utrecht,Suriname,"1,75 m",Left-Back,,Sep-00,left,30,,Suriname,SEG
Silvan Hefti,/silvan-hefti/profil/spieler/237666,€3.40m,Genoa CFC,ITA,"Oct 25, 1997 (25)",Rorschach,Switzerland,"1,82 m",Right-Back,,Oct-00,right,25,Switzerland U21,,Soccer Mondial AG
Stefano Sabelli,/stefano-sabelli/profil/spieler/167491,€1.20m,Genoa CFC,ITA,"Jan 13, 1993 (30)",Roma,Italy,"1,76 m",Right-Back,,Oct-00,right,30,Italy U21,,
Milan Badelj,/milan-badelj/profil/spieler/40633,€800k,Genoa CFC,ITA,"Feb 25, 1989 (34)",Zagreb,Croatia,"1,86 m",Defensive Midfield,,55 / 2,right,34,Croatia,,
Morten Thorsby,/morten-thorsby/profil/spieler/226524,€5.50m,Genoa CFC,ITA,"May 5, 1996 (27)",Oslo,Norway,"1,88 m",Central Midfield,,17 / 0,right,27,,Norway,
Morten Frendrup,/morten-frendrup/profil/spieler/503871,€4.20m,Genoa CFC,ITA,"Apr 7, 2001 (22)",Holbæk,Denmark,"1,78 m",Central Midfield,,1-Nov,right,22,,Denmark U21,
Berkan Kutlu,/berkan-kutlu/profil/spieler/469787,€4.00m,Genoa CFC,ITA,"Jan 25, 1998 (25)",Monthey,Turkey,"1,86 m",Central Midfield,,Jul-00,left,25,,Turkey,Cenk Melih Yazıcı
Pablo Galdames,/pablo-galdames/profil/spieler/313830,€2.30m,Genoa CFC,ITA,"Dec 30, 1996 (26)",Santiago de Chile,Chile,"1,76 m",Central Midfield,,Aug-00,right,26,Chile,,
Filip Jagiello,/filip-jagiello/profil/spieler/242813,€1.40m,Genoa CFC,ITA,"Aug 8, 1997 (26)",Lubin,Poland,"1,80 m",Central Midfield,,1-Sep,na,26,Poland U21,,
Kevin Strootman,/kevin-strootman/profil/spieler/68864,€1.30m,Genoa CFC,ITA,"Feb 13, 1990 (33)",Ridderkerk,Netherlands,"1,86 m",Central Midfield,,46 / 3,left,33,Netherlands,,SEG
Léandre Kuavita,/leandre-kuavita/profil/spieler/723485,€500k,Genoa CFC,ITA,"May 31, 2004 (19)",,Belgium,,Central Midfield,,Apr-00,left,19,,Belgium U19,
Ruslan Malinovskyi,/ruslan-malinovskyi/profil/spieler/207877,€15.00m,Genoa CFC,ITA,"May 4, 1993 (30)",Zhytomyr,Ukraine,"1,81 m",Attacking Midfield,,55 / 7,left,30,,Ukraine,ProStar
Albert Gudmundsson,/albert-gudmundsson/profil/spieler/305947,€4.50m,Genoa CFC,ITA,"Jun 15, 1997 (26)",Reykjavík,Iceland,"1,77 m",Left Winger,,35 / 6,right,26,,Iceland,GG11
Junior Messias,/junior-messias/profil/spieler/449151,€4.50m,Genoa CFC,ITA,"May 13, 1991 (32)",Belo Horizonte,Brazil,"1,74 m",Right Winger,,,left,32,,,GG11
Mateo Retegui,/mateo-retegui/profil/spieler/554903,€16.00m,Genoa CFC,ITA,"Apr 29, 1999 (24)",San Fernando,Italy,"1,86 m",Centre-Forward,Italy,2-Mar,right,24,,,
George Puscas,/george-puscas/profil/spieler/208690,€2.50m,Genoa CFC,ITA,"Apr 8, 1996 (27)",Marghita,Romania,"1,88 m",Centre-Forward,Romania,37 / 10,right,27,,,
Caleb Ekuban,/caleb-ekuban/profil/spieler/199953,€1.30m,Genoa CFC,ITA,"Mar 23, 1994 (29)",Villafranca di ...,Ghana,"1,82 m",Centre-Forward,,13 / 3,right,29,Ghana,,
Guillermo Ochoa,/guillermo-ochoa/profil/spieler/29559,€1.50m,US Salernitana 1919,ITA,"Jul 13, 1985 (38)",Guadalajara,Mexico,"1,83 m",Goalkeeper,Mexico,145 / 0,right,38,,,
Benoît Costil,/benoit-costil/profil/spieler/22628,€1.00m,US Salernitana 1919,ITA,"Jul 3, 1987 (36)",Caen,France,"1,88 m",Goalkeeper,,Jan-00,right,36,France,,
Vincenzo Fiorillo,/vincenzo-fiorillo/profil/spieler/55000,€200k,US Salernitana 1919,ITA,"Jan 13, 1990 (33)",Genova,Italy,"1,90 m",Goalkeeper,,Mar-00,left,33,Italy U21,,
Flavius Daniliuc,/flavius-daniliuc/profil/spieler/322655,€8.00m,US Salernitana 1919,ITA,"Apr 27, 2001 (22)",Wien,Austria,"1,88 m",Centre-Back,,Jan-00,right,22,,Austria,Sports360 GmbH
Lorenzo Pirola,/lorenzo-pirola/profil/spieler/487834,€8.00m,US Salernitana 1919,ITA,"Feb 20, 2002 (21)",Carate Brianza,Italy,"1,88 m",Centre-Back,Italy U21,2-Dec,left,21,,,
Matteo Lovato,/matteo-lovato/profil/spieler/459655,€6.00m,US Salernitana 1919,ITA,"Feb 14, 2000 (23)",Monselice,Italy,"1,88 m",Centre-Back,,15 / 1,right,23,,Italy U21,
Dylan Bronn,/dylan-bronn/profil/spieler/450417,€2.50m,US Salernitana 1919,ITA,"Jun 19, 1995 (28)",Cannes,Tunisia,"1,86 m",Centre-Back,,38 / 2,right,28,,Tunisia,
Norbert Gyomber,/norbert-gyomber/profil/spieler/205054,€1.50m,US Salernitana 1919,ITA,"Jul 3, 1992 (31)",Revúca,Slovakia,"1,89 m",Centre-Back,Slovakia,32 / 0,right,31,,,
Federico Fazio,/federico-fazio/profil/spieler/45314,€400k,US Salernitana 1919,ITA,"Mar 17, 1987 (36)",Buenos Aires,Argentina,"1,95 m",Centre-Back,,1-Oct,right,36,Argentina,,Team Raiola
Domagoj Bradaric,/domagoj-bradaric/profil/spieler/357796,€7.00m,US Salernitana 1919,ITA,"Dec 10, 1999 (23)",Split,Croatia,"1,78 m",Left-Back,,Apr-00,left,23,Croatia,,
Pasquale Mazzocchi,/pasquale-mazzocchi/profil/spieler/250153,€4.80m,US Salernitana 1919,ITA,"Jul 27, 1995 (28)",Napoli,Italy,"1,83 m",Right-Back,,Jan-00,right,28,,Italy,
Junior Sambia,/junior-sambia/profil/spieler/335147,€3.50m,US Salernitana 1919,ITA,"Sep 7, 1996 (27)",Lyon,France,"1,85 m",Right-Back,,,right,27,,,
Mateusz Legowski,/mateusz-legowski/profil/spieler/570466,€1.80m,US Salernitana 1919,ITA,"Jan 29, 2003 (20)",Brodnica,Poland,"1,81 m",Defensive Midfield,Poland U21,Jul-00,right,20,,,
Giulio Maggiore,/giulio-maggiore/profil/spieler/353796,€5.50m,US Salernitana 1919,ITA,"Mar 12, 1998 (25)",Genova,Italy,"1,84 m",Central Midfield,,1-Aug,right,25,Italy U21,,
Lassana Coulibaly,/lassana-coulibaly/profil/spieler/386552,€5.00m,US Salernitana 1919,ITA,"Apr 10, 1996 (27)",Bamako,Mali,"1,83 m",Central Midfield,Mali,33 / 0,right,27,,,
Emil Bohinen,/emil-bohinen/profil/spieler/406806,€3.40m,US Salernitana 1919,ITA,"Mar 12, 1999 (24)",Derby,Norway,"1,89 m",Central Midfield,,1-Oct,left,24,Norway U21,,
Grigoris Kastanos,/grigoris-kastanos/profil/spieler/298635,€1.80m,US Salernitana 1919,ITA,"Jan 30, 1998 (25)",Sotira,Cyprus,"1,79 m",Central Midfield,Cyprus,44 / 3,left,25,,,
Antonio Candreva,/antonio-candreva/profil/spieler/25488,€1.50m,US Salernitana 1919,ITA,"Feb 28, 1987 (36)",Roma,Italy,"1,80 m",Right Midfield,,54 / 7,right,36,Italy,,
Agustín Martegani,/agustin-martegani/profil/spieler/732507,€2.00m,US Salernitana 1919,ITA,"May 20, 2000 (23)",Rojas,Argentina,"1,85 m",Attacking Midfield,,,left,23,,,
Jovane,/jovane/profil/spieler/448466,€3.50m,US Salernitana 1919,ITA,"Jun 14, 1998 (25)",Assomada,Cape Verde,"1,74 m",Left Winger,,1-Jun,right,25,,Cape Verde,
Loum Tchaouna,/loum-tchaouna/profil/spieler/607226,€1.80m,US Salernitana 1919,ITA,"Sep 8, 2003 (20)",N'Djamena,France,"1,80 m",Right Winger,,3-Aug,left,20,,France U20,
Boulaye Dia,/boulaye-dia/profil/spieler/626913,€25.00m,US Salernitana 1919,ITA,"Nov 16, 1996 (26)",Oyonnax,Senegal,"1,80 m",Centre-Forward,,25 / 6,right,26,,Senegal,VV Consulting
Erik Botheim,/erik-botheim/profil/spieler/418559,€3.50m,US Salernitana 1919,ITA,"Jan 10, 2000 (23)",Oslo,Norway,"1,85 m",Centre-Forward,,17 / 3,right,23,,Norway U21,
Simy,/simy/profil/spieler/194549,€600k,US Salernitana 1919,ITA,"May 7, 1992 (31)",Lagos,Nigeria,"1,98 m",Centre-Forward,,Apr-00,right,31,Nigeria,,
Chukwubuikem Ikwuemesi,/chukwubuikem-ikwuemesi/profil/spieler/929494,€500k,US Salernitana 1919,ITA,"Aug 5, 2001 (22)",,Nigeria,"1,95 m",Centre-Forward,,0 / 0,right,22,Nigeria U20,,
Trivante Stewart,/trivante-stewart/profil/spieler/880054,€100k,US Salernitana 1919,ITA,"Mar 22, 2000 (23)",Spanish Town,Jamaica,,Centre-Forward,,Mar-00,,23,,Jamaica,
Michele Di Gregorio,/michele-di-gregorio/profil/spieler/301238,€8.00m,AC Monza,ITA,"Jul 27, 1997 (26)",Milano,Italy,"1,87 m",Goalkeeper,,Jan-00,right,26,Italy U17,,
Stefano Gori,/stefano-gori/profil/spieler/244491,€900k,AC Monza,ITA,"Mar 9, 1996 (27)",Brescia,Italy,"1,85 m",Goalkeeper,,Jan-00,right,27,Italy U19,,
Alessandro Sorrentino,/alessandro-sorrentino/profil/spieler/542588,€500k,AC Monza,ITA,"Apr 3, 2002 (21)",Guardiagrele,Italy,"1,90 m",Goalkeeper,,Jan-00,right,21,,Italy U21,
Eugenio Lamanna,/eugenio-lamanna/profil/spieler/85240,€100k,AC Monza,ITA,"Aug 7, 1989 (34)",Como,Italy,"1,87 m",Goalkeeper,,,right,34,,,
Pablo Marí,/pablo-mari/profil/spieler/210178,€5.00m,AC Monza,ITA,"Aug 31, 1993 (30)",Almussafes,Spain,"1,93 m",Centre-Back,,,left,30,,,
Andrea Carboni,/andrea-carboni/profil/spieler/481834,€4.00m,AC Monza,ITA,"Feb 4, 2001 (22)",Sorgono,Italy,"1,87 m",Centre-Back,,Feb-00,left,22,,Italy U21,
Armando Izzo,/armando-izzo/profil/spieler/32113,€3.00m,AC Monza,ITA,"Mar 2, 1992 (31)",Napoli,Italy,"1,83 m",Centre-Back,,Mar-00,right,31,Italy,,
Giorgio Cittadini,/giorgio-cittadini/profil/spieler/616628,€3.00m,AC Monza,ITA,"Apr 18, 2002 (21)",Gardone Val Trompia,Italy,"1,93 m",Centre-Back,Italy U21,Feb-00,right,21,,,
Luca Caldirola,/luca-caldirola/profil/spieler/88680,€1.50m,AC Monza,ITA,"Feb 1, 1991 (32)",Desio,Italy,"1,86 m",Centre-Back,,31 / 1,left,32,Italy U21,,
Danilo D'Ambrosio,/danilo-dambrosio/profil/spieler/55769,€1.50m,AC Monza,ITA,"Sep 9, 1988 (35)",Napoli,Italy,"1,80 m",Centre-Back,,Jun-00,right,35,Italy,,
Davide Bettella,/davide-bettella/profil/spieler/357995,€1.40m,AC Monza,ITA,"Apr 7, 2000 (23)",Padova,Italy,"1,85 m",Centre-Back,,Mar-00,right,23,Italy U21,,
Georgios Kyriakopoulos,/georgios-kyriakopoulos/profil/spieler/311178,€3.80m,AC Monza,ITA,"Feb 5, 1996 (27)",Patras,Greece,"1,86 m",Left-Back,,Jul-00,left,27,,Greece,
Franco Carboni,/franco-carboni/profil/spieler/731491,€1.00m,AC Monza,ITA,"Apr 4, 2003 (20)",Buenos Aires,Argentina,"1,90 m",Left-Back,,0 / 0,left,20,Argentina,,
Samuele Birindelli,/samuele-birindelli/profil/spieler/461019,€2.30m,AC Monza,ITA,"Jul 19, 1999 (24)",Pisa,Italy,"1,76 m",Right-Back,,Jan-00,right,24,Italy U21,,
Pedro Pereira,/pedro-pereira/profil/spieler/314965,€2.00m,AC Monza,ITA,"Jan 22, 1998 (25)",Vendas Novas,Portugal,"1,85 m",Right-Back,,May-00,right,25,Portugal U21,,
Matteo Pessina,/matteo-pessina/profil/spieler/332179,€15.00m,AC Monza,ITA,"Apr 21, 1997 (26)",Monza,Italy,"1,87 m",Central Midfield,Italy,16 / 5,left,26,,,
Roberto Gagliardini,/roberto-gagliardini/profil/spieler/197471,€4.00m,AC Monza,ITA,"Apr 7, 1994 (29)",Bergamo,Italy,"1,88 m",Central Midfield,,Jul-00,right,29,Italy,,
Andrea Colpani,/andrea-colpani/profil/spieler/392959,€4.00m,AC Monza,ITA,"May 11, 1999 (24)",Brescia,Italy,"1,84 m",Central Midfield,,1-Mar,left,24,Italy U21,,
José Machín,/jose-machin/profil/spieler/355104,€1.50m,AC Monza,ITA,"Aug 14, 1996 (27)",Bata,Equatorial Guinea,"1,84 m",Central Midfield,,20 / 0,right,27,Equat. Guinea,,Team Raiola
Jean-Daniel Akpa Akpro,/jean-daniel-akpa-akpro/profil/spieler/170481,€1.50m,AC Monza,ITA,"Oct 11, 1992 (30)",Toulouse,Cote d'Ivoire,"1,80 m",Central Midfield,,17 / 0,right,30,Ivory Coast,,
Warren Bondo,/warren-bondo/profil/spieler/659516,€700k,AC Monza,ITA,"Sep 15, 2003 (19)",Évry,France,"1,77 m",Central Midfield,,May-00,right,19,,France U20,
Valentín Carboni,/valentin-carboni/profil/spieler/787618,€5.00m,AC Monza,ITA,"Mar 5, 2005 (18)",Buenos Aires,Argentina,"1,85 m",Attacking Midfield,Argentina U20,Feb-00,left,18,,,
Samuele Vignato,/samuele-vignato/profil/spieler/650966,€600k,AC Monza,ITA,"Feb 24, 2004 (19)",Fumane,Italy,"1,72 m",Attacking Midfield,,16 / 7,right,19,,Italy U19,
Patrick Ciurria,/patrick-ciurria/profil/spieler/255838,€5.00m,AC Monza,ITA,"Feb 9, 1995 (28)",Sassuolo,Italy,"1,78 m",Right Winger,,Mar-00,na,28,Italy U20,,
Gianluca Caprari,/gianluca-caprari/profil/spieler/146752,€8.00m,AC Monza,ITA,"Jul 30, 1993 (30)",Roma,Italy,"1,71 m",Second Striker,,Jan-00,right,30,Italy,,
Dany Mota,/dany-mota/profil/spieler/347253,€6.00m,AC Monza,ITA,"May 2, 1998 (25)",Niederkorn,Portugal,"1,80 m",Centre-Forward,,16 / 7,right,25,Portugal U21,,VV Consulting
Lorenzo Colombo,/lorenzo-colombo/profil/spieler/487843,€5.00m,AC Monza,ITA,"Mar 8, 2002 (21)",Vimercate,Italy,"1,83 m",Centre-Forward,Italy U21,19 / 4,left,21,,,
Mirko Maric,/mirko-maric/profil/spieler/215649,€800k,AC Monza,ITA,"May 16, 1995 (28)",Mostar,Croatia,"1,88 m",Centre-Forward,,Feb-00,left,28,Croatia,,VPA Sports
Elia Caprile,/elia-caprile/profil/spieler/421873,€4.00m,FC Empoli,ITA,"Aug 25, 2001 (22)",Verona,Italy,"1,91 m",Goalkeeper,,Feb-00,right,22,,Italy U21,
Samuele Perisan,/samuele-perisan/profil/spieler/301240,€800k,FC Empoli,ITA,"Aug 21, 1997 (26)",San Vito al ...,Italy,"1,92 m",Goalkeeper,,Feb-00,left,26,Italy U20,,
Etrit Berisha,/etrit-berisha/profil/spieler/77825,€400k,FC Empoli,ITA,"Mar 10, 1989 (34)",Prishtinë,Albania,"1,94 m",Goalkeeper,Albania,77 / 0,left,34,,,
Lovro Stubljar,/lovro-stubljar/profil/spieler/728516,€200k,FC Empoli,ITA,"Aug 9, 2004 (19)",,Slovenia,,Goalkeeper,,Mar-00,left,19,,Slovenia U19,
Ardian Ismajli,/ardian-ismajli/profil/spieler/435228,€3.50m,FC Empoli,ITA,"Sep 30, 1996 (26)","Majac, Besianë",Albania,"1,85 m",Centre-Back,Albania,34 / 2,right,26,,,
Sebastian Walukiewicz,/sebastian-walukiewicz/profil/spieler/345458,€3.00m,FC Empoli,ITA,"Apr 5, 2000 (23)",Gorzów Wielkopolski,Poland,"1,88 m",Centre-Back,,Mar-00,right,23,Poland,,
Sebastiano Luperto,/sebastiano-luperto/profil/spieler/278531,€3.00m,FC Empoli,ITA,"Sep 6, 1996 (27)",Lecce,Italy,"1,91 m",Centre-Back,,May-00,left,27,Italy U21,,
Gabriele Guarino,/gabriele-guarino/profil/spieler/745427,€800k,FC Empoli,ITA,"Apr 14, 2004 (19)",Molfetta,Italy,"1,86 m",Centre-Back,Italy U21,0 / 0,right,19,,,
Lorenzo Tonelli,/lorenzo-tonelli/profil/spieler/111347,€500k,FC Empoli,ITA,"Jan 17, 1990 (33)",Firenze,Italy,"1,83 m",Centre-Back,,0 / 0,right,33,Italy,,
Giuseppe Pezzella,/giuseppe-pezzella/profil/spieler/336960,€2.50m,FC Empoli,ITA,"Nov 29, 1997 (25)",Napoli,Italy,"1,87 m",Left-Back,,14 / 0,left,25,Italy U21,,
Liberato Cacace,/liberato-cacace/profil/spieler/469211,€2.00m,FC Empoli,ITA,"Sep 27, 2000 (22)",Wellington,New Zealand,"1,83 m",Left-Back,New Zealand,16 / 1,left,22,,,
Tyronne Ebuehi,/tyronne-ebuehi/profil/spieler/309944,€2.50m,FC Empoli,ITA,"Dec 16, 1995 (27)",Haarlem,Nigeria,"1,87 m",Right-Back,Nigeria,Nov-00,right,27,,,
Bartosz Bereszynski,/bartosz-bereszynski/profil/spieler/144143,€1.60m,FC Empoli,ITA,"Jul 12, 1992 (31)",Poznań,Poland,"1,83 m",Right-Back,Poland,52 / 0,right,31,,,
Alberto Grassi,/alberto-grassi/profil/spieler/197473,€2.00m,FC Empoli,ITA,"Mar 7, 1995 (28)",Lumezzane,Italy,"1,83 m",Defensive Midfield,,Dec-00,right,28,Italy U21,,
Razvan Marin,/razvan-marin/profil/spieler/295183,€8.00m,FC Empoli,ITA,"May 23, 1996 (27)",Bukarest,Romania,"1,78 m",Central Midfield,Romania,47 / 2,right,27,,,Pietro Chiodi ...
Simone Bastoni,/simone-bastoni/profil/spieler/257751,€6.50m,FC Empoli,ITA,"Nov 5, 1996 (26)",La Spezia,Italy,"1,81 m",Central Midfield,,1-Apr,left,26,Italy U19,,
Youssef Maleh,/youssef-maleh/profil/spieler/324377,€4.50m,FC Empoli,ITA,"Aug 22, 1998 (25)",Castel S. Pietro ...,Morocco,"1,79 m",Central Midfield,,Jan-00,left,25,,Morocco,
Jacopo Fazzini,/jacopo-fazzini/profil/spieler/691482,€3.50m,FC Empoli,ITA,"Mar 16, 2003 (20)",Massa,Italy,"1,78 m",Central Midfield,Italy U21,0 / 0,right,20,,,
Luca Belardinelli,/luca-belardinelli/profil/spieler/467994,€2.60m,FC Empoli,ITA,"Mar 14, 2001 (22)",Ravenna,Italy,"1,90 m",Central Midfield,,Jan-00,right,22,Italy U19,,
Filippo Ranocchia,/filippo-ranocchia/profil/spieler/489611,€1.80m,FC Empoli,ITA,"May 14, 2001 (22)",Perugia,Italy,"1,86 m",Central Midfield,,May-00,na,22,,Italy U21,
Tommaso Baldanzi,/tommaso-baldanzi/profil/spieler/641537,€15.00m,FC Empoli,ITA,"Mar 23, 2003 (20)",Poggibonsi,Italy,"1,70 m",Attacking Midfield,Italy U21,Jan-00,left,20,,,
Daniel Maldini,/daniel-maldini/profil/spieler/539134,€3.00m,FC Empoli,ITA,"Oct 11, 2001 (21)",Milano,Italy,"1,88 m",Attacking Midfield,,1-Mar,right,21,Italy U20,,
Viktor Kovalenko,/viktor-kovalenko/profil/spieler/203842,€1.50m,FC Empoli,ITA,"Feb 14, 1996 (27)",Kherson,Ukraine,"1,82 m",Attacking Midfield,,32 / 0,right,27,Ukraine,,ProStar
Nicolò Cambiaghi,/nicolo-cambiaghi/profil/spieler/459151,€8.00m,FC Empoli,ITA,"Dec 28, 2000 (22)",Monza,Italy,"1,73 m",Left Winger,,Sep-00,right,22,,Italy U21,
Emmanuel Gyasi,/emmanuel-gyasi/profil/spieler/241076,€2.00m,FC Empoli,ITA,"Jan 11, 1994 (29)",Palermo,Ghana,"1,81 m",Left Winger,,Mar-00,right,29,Ghana,,
Matteo Cancellieri,/matteo-cancellieri/profil/spieler/550106,€5.00m,FC Empoli,ITA,"Feb 12, 2002 (21)",Roma,Italy,"1,80 m",Right Winger,,4-Dec,left,21,,Italy U21,
Francesco Caputo,/francesco-caputo/profil/spieler/84765,€1.50m,FC Empoli,ITA,"Aug 6, 1987 (36)",Altamura,Italy,"1,81 m",Centre-Forward,,1-Feb,right,36,Italy,,
Stiven Shpendi,/stiven-shpendi/profil/spieler/931567,€1.40m,FC Empoli,ITA,"May 19, 2003 (20)",Ancona,Albania,"1,81 m",Centre-Forward,Albania U21,3-Jun,right,20,,,
Mattia Destro,/mattia-destro/profil/spieler/88683,€1.30m,FC Empoli,ITA,"Mar 20, 1991 (32)",Ascoli Piceno,Italy,"1,82 m",Centre-Forward,,1-Aug,right,32,Italy,,
Lorenzo Montipò,/lorenzo-montipo/profil/spieler/241923,€4.00m,Hellas Verona,ITA,"Feb 20, 1996 (27)",Novara,Italy,"1,91 m",Goalkeeper,,Jan-00,right,27,Italy U21,,
Simone Perilli,/simone-perilli/profil/spieler/240675,€200k,Hellas Verona,ITA,"Jan 7, 1995 (28)",Roma,Italy,"1,95 m",Goalkeeper,,Mar-00,right,28,Italy U16,,
Mattia Chiesa,/mattia-chiesa/profil/spieler/535881,€100k,Hellas Verona,ITA,"Jul 16, 2000 (23)",Rovereto,Italy,"1,90 m",Goalkeeper,,,right,23,,,
Alessandro Berardi,/alessandro-berardi/profil/spieler/127217,€50k,Hellas Verona,ITA,"Jan 16, 1991 (32)",Roma,Italy,"1,85 m",Goalkeeper,,,right,32,,,
Isak Hien,/isak-hien/profil/spieler/503075,€6.00m,Hellas Verona,ITA,"Jan 13, 1999 (24)",Kista,Sweden,"1,91 m",Centre-Back,Sweden,Jul-00,right,24,,,
Diego Coppola,/diego-coppola/profil/spieler/660860,€4.00m,Hellas Verona,ITA,"Dec 28, 2003 (19)",Verona,Italy,"1,92 m",Centre-Back,Italy U21,0 / 0,right,19,,,
Koray Günter,/koray-gunter/profil/spieler/115763,€3.50m,Hellas Verona,ITA,"Aug 16, 1994 (29)",Höxter,Germany,"1,86 m",Centre-Back,,Apr-00,right,29,Germany U20,,
Giangiacomo Magnani,/giangiacomo-magnani/profil/spieler/310458,€3.00m,Hellas Verona,ITA,"Oct 4, 1995 (27)",Correggio,Italy,"1,91 m",Centre-Back,,,right,27,,,
Pawel Dawidowicz,/pawel-dawidowicz/profil/spieler/248732,€3.00m,Hellas Verona,ITA,"May 20, 1995 (28)",Olsztyn,Poland,"1,89 m",Centre-Back,Poland,Aug-00,na,28,,,
Bruno Amione,/bruno-amione/profil/spieler/644676,€2.70m,Hellas Verona,ITA,"Jan 3, 2002 (21)",Calchaquí,Argentina,"1,87 m",Centre-Back,,0 / 0,left,21,Argentina U23,,
